GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Oct 25 09:41:16 MST 2016

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	objective	Q_evap	barrier_and_penalty	barrier	penalty	mu1	mu2	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
1	1	1	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	274.15	312.15	313.15	310.15	393.15	Initial point.
2	2	1	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.2	274.15	312.15	313.15	310.15	393.15	Cost not reduced at m_rich+dm_rich.
3	2	2	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	279.15	312.15	313.15	310.15	393.15	Cost not reduced at T_evap+dT_evap.
4	2	3	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	274.15	317.15	313.15	310.15	393.15	Cost not reduced at T_cond+dT_cond.
5	2	4	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	274.15	307.15	313.15	310.15	393.15	Cost not reduced at T_cond-dT_cond.
6	2	5	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	274.15	312.15	318.15	310.15	393.15	Cost not reduced at T_rect+dT_rect.
7	2	6	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	274.15	312.15	308.15	310.15	393.15	Cost not reduced at T_rect-dT_rect.
8	2	7	1	-246.98154188071157	24.552363488711556	-222.429178392	-222.429178392	0.0	1.0	1.0	0.1	274.15	312.15	313.15	315.15	393.15	Cost reduced     at T_abs_outlet+dT_abs_outlet.
9	2	8	1	-253.4108471040229	27.32448830202291	-226.086358802	-226.086358802	0.0	1.0	1.0	0.1	274.15	312.15	313.15	315.15	398.15	Cost reduced     at T_gen_outlet+dT_gen_outlet.
9	2	9	1	-253.4108471040229	27.32448830202291	-226.086358802	-226.086358802	0.0	1.0	1.0	0.1	274.15	312.15	313.15	315.15	398.15	Global search reduced cost.
10	3	1	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	274.15	312.15	313.15	320.15	403.15	Exploration base, Delta = 1.0.
11	3	2	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.2	274.15	312.15	313.15	320.15	403.15	Cost not reduced at m_rich+dm_rich.
12	3	3	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.1	279.15	312.15	313.15	320.15	403.15	Cost not reduced at T_evap+dT_evap.
