GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Oct 25 09:30:28 MST 2016

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	objective	Q_evap	barrier_and_penalty	barrier	penalty	mu1	mu2	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
1	1	1	1	-265.56452245499963	29.773590816999654	-235.790931638	-235.790931638	0.0	1.0	1.0	0.1	274.15	312.15	313.15	310.15	393.15	Initial point.
2	2	1	1	-292.2773873079993	59.54718163399931	-232.730205674	-232.730205674	0.0	1.0	1.0	0.2	274.15	312.15	313.15	310.15	393.15	Cost reduced     at m_rich+dm_rich.
3	2	2	1	-292.34439108206084	72.07637557706082	-220.268015505	-220.268015505	0.0	1.0	1.0	0.2	279.15	312.15	313.15	310.15	393.15	Cost reduced     at T_evap+dT_evap.
4	2	3	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.2	279.15	317.15	313.15	310.15	393.15	Cost not reduced at T_cond+dT_cond.
5	2	4	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.2	279.15	307.15	313.15	310.15	393.15	Cost not reduced at T_cond-dT_cond.
6	2	5	1	-296.9794406740608	72.07637557706082	-224.903065097	-224.903065097	0.0	1.0	1.0	0.2	279.15	312.15	318.15	310.15	393.15	Cost reduced     at T_rect+dT_rect.
7	2	6	1	-287.31623241799775	60.991883392997764	-226.324349025	-226.324349025	0.0	1.0	1.0	0.2	279.15	312.15	318.15	315.15	393.15	Cost not reduced at T_abs_outlet+dT_abs_outlet.
8	2	7	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.2	279.15	312.15	318.15	305.15	393.15	Cost not reduced at T_abs_outlet-dT_abs_outlet.
9	2	8	1	-305.8146662189532	76.90858507095325	-228.906081148	-228.906081148	0.0	1.0	1.0	0.2	279.15	312.15	318.15	310.15	398.15	Cost reduced     at T_gen_outlet+dT_gen_outlet.
9	2	9	1	-305.8146662189532	76.90858507095325	-228.906081148	-228.906081148	0.0	1.0	1.0	0.2	279.15	312.15	318.15	310.15	398.15	Global search reduced cost.
10	3	1	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	312.15	323.15	310.15	403.15	Cost reduced     at T_evap-dT_evap.
11	3	2	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	317.15	323.15	310.15	403.15	Cost not reduced at T_cond+dT_cond.
12	3	3	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	307.15	323.15	310.15	403.15	Cost not reduced at T_cond-dT_cond.
13	3	4	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	312.15	328.15	310.15	403.15	Cost not reduced at T_rect+dT_rect.
14	3	5	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	312.15	318.15	310.15	403.15	Cost not reduced at T_rect-dT_rect.
15	3	6	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	312.15	323.15	315.15	403.15	Cost not reduced at T_abs_outlet+dT_abs_outlet.
16	3	7	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	312.15	323.15	305.15	403.15	Cost not reduced at T_abs_outlet-dT_abs_outlet.
17	3	8	1	1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.3	279.15	312.15	323.15	310.15	408.15	Cost not reduced at T_gen_outlet+dT_gen_outlet.
18	3	9	1	3088.2811614478405	115.36287760642985	3203.6440390542703	-229.255810893	3432.89984994727	1.0	1.0	0.3	279.15	312.15	323.15	310.15	398.15	Cost not reduced at T_gen_outlet-dT_gen_outlet.
19	3	10	1	3095.45368593172	115.36287760642985	3210.8165635381497	-224.920275163	3435.7368387011497	1.0	1.0	0.3	279.15	312.15	318.15	310.15	398.15	Cost not reduced at m_rich+dm_rich.
20	3	11	1	-271.32854309847664	38.454292535476625	-232.874250563	-232.874250563	0.0	1.0	1.0	0.1	279.15	312.15	318.15	310.15	398.15	Cost not reduced at m_rich-dm_rich.
21	3	12	1	-305.8361880545947	64.77952208859467	-241.056665966	-241.056665966	0.0	1.0	1.0	0.2	274.15	312.15	318.15	310.15	398.15	Cost reduced     at T_evap-dT_evap.
22	3	13	1	-306.3571753203425	57.06476709734248	-249.292408223	-249.292408223	0.0	1.0	1.0	0.2	274.15	317.15	318.15	310.15	398.15	Cost reduced     at T_cond+dT_cond.
