GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Oct 25 09:30:28 MST 2016

Main Iterations


Simulation Number	Main Iteration	Step Number	objective	Q_evap	barrier_and_penalty	barrier	penalty	mu1	mu2	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
1	1	1	-265.56452245499963	29.773590816999654	-235.790931638	-235.790931638	0.0	1.0	1.0	0.1	274.15	312.15	313.15	310.15	393.15	Initial point.
9	2	1	-305.8146662189532	76.90858507095325	-228.906081148	-228.906081148	0.0	1.0	1.0	0.2	279.15	312.15	318.15	310.15	398.15	Global search reduced cost.
23	3	1	-310.7763307183425	57.06476709734248	-253.711563621	-253.711563621	0.0	1.0	1.0	0.2	274.15	317.15	323.15	310.15	398.15	Local search reduced cost.
31	4	1	-319.1682103233425	57.06476709734248	-262.103443226	-262.103443226	0.0	1.0	1.0	0.2	274.15	317.15	333.15	310.15	398.15	Global search reduced cost.
38	5	1	-347.340477572892	97.16928313289199	-250.17119444	-250.17119444	0.0	1.0	1.0	0.3	274.15	312.15	333.15	310.15	398.15	Local search reduced cost.
38	6	1	-347.340477572892	97.16928313289199	-250.17119444	-250.17119444	0.0	1.0	1.0	0.3	274.15	312.15	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.5'.
56	1	2	-159.712081742892	97.16928313289199	-62.54279861	-250.17119444	0.0	0.25	4.0	0.3	274.15	312.15	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.5'.
56	2	2	-159.712081742892	97.16928313289199	-62.54279861	-250.17119444	0.0	0.25	4.0	0.3	274.15	312.15	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.25'.
67	1	3	-124.96608251511421	97.16928313289199	-27.79679938222222	-250.17119444	0.0	0.1111111111111111	9.0	0.3	274.15	312.15	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.25'.
72	2	3	-126.5161366981429	98.84695296469846	-27.66918373344444	-249.022653601	0.0	0.1111111111111111	9.0	0.3	275.4	313.4	333.15	310.15	398.15	Global search reduced cost.
84	3	3	-130.70130350261	103.39949017083222	-27.301813331777776	-245.716319986	0.0	0.1111111111111111	9.0	0.3	276.65	313.4	333.15	310.15	398.15	Global search reduced cost.
84	4	3	-130.70130350261	103.39949017083222	-27.301813331777776	-245.716319986	0.0	0.1111111111111111	9.0	0.3	276.65	313.4	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.125'.
104	1	4	-118.75676016995722	103.39949017083222	-15.357269999125	-245.716319986	0.0	0.0625	16.0	0.3	276.65	313.4	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.125'.
104	2	4	-118.75676016995722	103.39949017083222	-15.357269999125	-245.716319986	0.0	0.0625	16.0	0.3	276.65	313.4	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.0625'.
116	1	5	-113.22814297027222	103.39949017083222	-9.82865279944	-245.716319986	0.0	0.04	25.0	0.3	276.65	313.4	333.15	310.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.0625'.
116	2	5	-113.22814297027222	103.39949017083222	-9.82865279944	-245.716319986	0.0	0.04	25.0	0.3	276.65	313.4	333.15	310.15	398.15	Iteration step did not reduce cost. Maximum number of step reductions reached.
116	2	5	-113.22814297027222	103.39949017083222	-9.82865279944	-245.716319986	0.0	0.04	25.0	0.3	276.65	313.4	333.15	310.15	398.15	Minimum point.
