GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Oct 25 09:49:58 MST 2016

Main Iterations


Simulation Number	Main Iteration	Step Number	objective	Q_evap	barrier_and_penalty	barrier	penalty	mu1	mu2	m_rich	T_evap	T_cond	T_rect	T_abs_outlet	T_gen_outlet
1	1	1	-240.8035066523886	10.434040247388594	-230.369466405	-230.369466405	0.0	1.0	1.0	0.1	274.15	322.15	323.15	320.15	393.15	Initial point.
9	2	1	-267.20293775326786	48.199108506267855	-219.003829247	-219.003829247	0.0	1.0	1.0	0.2	279.15	317.15	328.15	320.15	398.15	Global search reduced cost.
16	3	1	-281.0234166344693	46.63829442146934	-234.385122213	-234.385122213	0.0	1.0	1.0	0.2	274.15	317.15	333.15	315.15	398.15	Local search reduced cost.
16	4	1	-281.0234166344693	46.63829442146934	-234.385122213	-234.385122213	0.0	1.0	1.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.5'.
24	1	2	-105.23457497471934	46.63829442146934	-58.59628055325	-234.385122213	0.0	0.25	4.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.5'.
24	2	2	-105.23457497471934	46.63829442146934	-58.59628055325	-234.385122213	0.0	0.25	4.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.25'.
33	1	3	-72.68108577846934	46.63829442146934	-26.042791357	-234.385122213	0.0	0.1111111111111111	9.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.25'.
33	2	3	-72.68108577846934	46.63829442146934	-26.042791357	-234.385122213	0.0	0.1111111111111111	9.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.125'.
43	1	4	-61.287364559781835	46.63829442146934	-14.6490701383125	-234.385122213	0.0	0.0625	16.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.125'.
43	2	4	-61.287364559781835	46.63829442146934	-14.6490701383125	-234.385122213	0.0	0.0625	16.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.0625'.
53	1	5	-56.01369930998934	46.63829442146934	-9.37540488852	-234.385122213	0.0	0.04	25.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Reduce step size to '0.0625'.
53	2	5	-56.01369930998934	46.63829442146934	-9.37540488852	-234.385122213	0.0	0.04	25.0	0.2	274.15	317.15	333.15	315.15	398.15	Iteration step did not reduce cost. Maximum number of step reductions reached.
53	2	5	-56.01369930998934	46.63829442146934	-9.37540488852	-234.385122213	0.0	0.04	25.0	0.2	274.15	317.15	333.15	315.15	398.15	Minimum point.
